carrier_name,ave_percent
Hawaiian Airlines Inc.,9.966162930
Horizon Air,11.489386382
Delta Air Lines Inc.,12.892305230
Endeavor Air Inc.,14.213212158
Alaska Airlines Inc.,15.301881423
Republic Airline,15.552828884
SkyWest Airlines Inc.,16.356962676
Southwest Airlines Co.,16.419263813
United Air Lines Inc.,17.384787734
Envoy Air,17.862720712
PSA Airlines Inc.,17.870668633
Spirit Air Lines,18.018641382
Mesa Airlines Inc.,18.090325932
American Airlines Inc.,18.098257359
Allegiant Air,18.652790303
ExpressJet Airlines Inc.,18.855560898
ExpressJet Airlines LLC,19.882868515
Frontier Airlines Inc.,21.949557774
JetBlue Airways,23.792356000
Virgin America,24.724285678
